 Prim  : er graph with V=1000, E=5119, 0.000130152 secs, 10238 edge scans, 4120 w comps, 0 uf ops, 3559 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 114.787514074
Boruvka: er graph with V=1000, E=5119, 0.000155782 secs, 25595 edge scans, 37560 w comps, 53818 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 114.787514074
Kruskal: er graph with V=1000, E=5119, 0.000217718 secs, 3147 edge scans, 79950 w comps, 6294 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 114.787514074
SCFcach(K=2): er graph with V=1000, E=5119, 0.000219320 secs, 15793 edge scans, 26075 w comps, 0 uf ops, 1998 pq ops, 3910 component updates, 8860/10044 cache checks for best/worst, with MST weight 114.787514074

 Prim  : er graph with V=1000, E=10098, 0.000170486 secs, 20196 edge scans, 9099 w comps, 0 uf ops, 4175 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 57.406383914
SCFcach(K=2): er graph with V=1000, E=10098, 0.000241730 secs, 28844 edge scans, 53111 w comps, 0 uf ops, 1998 pq ops, 3658 component updates, 8150/23747 cache checks for best/worst, with MST weight 57.406383914
Boruvka: er graph with V=1000, E=10098, 0.000253698 secs, 50490 edge scans, 75852 w comps, 103600 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 57.406383914
Kruskal: er graph with V=1000, E=10098, 0.000471906 secs, 2908 edge scans, 161312 w comps, 5816 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 57.406383914

 Prim  : er graph with V=1000, E=20042, 0.000244434 secs, 40084 edge scans, 19043 w comps, 0 uf ops, 4891 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 28.296174811
SCFcach(K=2): er graph with V=1000, E=20042, 0.000313972 secs, 60876 edge scans, 111619 w comps, 0 uf ops, 1998 pq ops, 3919 component updates, 8864/52811 cache checks for best/worst, with MST weight 28.296174811
Boruvka: er graph with V=1000, E=20042, 0.000450164 secs, 100210 edge scans, 164038 w comps, 203044 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 28.296174811
Kruskal: er graph with V=1000, E=20042, 0.001017676 secs, 3199 edge scans, 339523 w comps, 6398 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 28.296174811

SCFcach(K=2): er graph with V=1000, E=29914, 0.000355126 secs, 87354 edge scans, 163402 w comps, 0 uf ops, 1998 pq ops, 3762 component updates, 8438/78833 cache checks for best/worst, with MST weight 19.069084655
 Prim  : er graph with V=1000, E=29914, 0.000419802 secs, 59828 edge scans, 28915 w comps, 0 uf ops, 5276 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 19.069084655
Boruvka: er graph with V=1000, E=29914, 0.000521910 secs, 119656 edge scans, 211205 w comps, 241894 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 19.069084655
Kruskal: er graph with V=1000, E=29914, 0.001574844 secs, 4229 edge scans, 546340 w comps, 8458 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 19.069084655

